Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2020/21

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Ale;1440;Västra Götalands län;14;Samtliga;49;23;60;459;430;456;475;442;408;389;417;401;3 877;
Ale;1440;Västra Götalands län;14;Kommunal;49;24;60;436;408;434;452;419;363;365;396;358;3 631;
Ale;1440;Västra Götalands län;14;Enskild;48;4;64;23;22;22;23;23;45;24;21;43;246;
Alingsås;1489;Västra Götalands län;14;Samtliga;49;15;66;503;525;523;565;538;537;532;566;513;4 802;
Alingsås;1489;Västra Götalands län;14;Kommunal;48;16;64;425;446;440;486;457;435;417;449;402;3 957;
Alingsås;1489;Västra Götalands län;14;Enskild;52;11;73;78;79;83;79;81;102;115;117;111;845;
Alvesta;0764;Kronobergs län;07;Samtliga;48;33;49;244;239;249;253;251;260;258;239;226;2 219;
Alvesta;0764;Kronobergs län;07;Kommunal;48;34;49;241;225;244;246;241;252;258;239;226;2 172;
Alvesta;0764;Kronobergs län;07;Enskild;53;15;62;3;14;5;7;10;8;.;.;.;47;
Aneby;0604;Jönköpings län;06;Samtliga;49;23;48;90;91;84;77;81;81;84;75;74;737;
Aneby;0604;Jönköpings län;06;Kommunal;48;22;49;90;88;81;76;78;79;81;74;74;721;
Aneby;0604;Jönköpings län;06;Enskild;63;31;..;.;3;3;1;3;2;3;1;.;16;
Arboga;1984;Västmanlands län;19;Samtliga;47;23;52;156;149;148;163;135;145;140;155;131;1 322;
Arboga;1984;Västmanlands län;19;Kommunal;47;23;52;156;149;148;163;135;145;140;155;131;1 322;
Arjeplog;2506;Norrbottens län;25;Samtliga;50;9;49;26;31;31;26;23;17;23;24;21;222;
Arjeplog;2506;Norrbottens län;25;Kommunal;50;9;49;26;31;31;26;23;17;23;24;21;222;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;47;10;43;63;60;71;66;50;59;75;51;57;552;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;47;10;43;63;60;71;66;50;59;75;51;57;552;
Arvika;1784;Värmlands län;17;Samtliga;49;19;51;323;299;272;269;276;262;270;306;253;2 530;
Arvika;1784;Värmlands län;17;Kommunal;47;19;50;323;299;272;269;276;262;219;234;201;2 355;
Arvika;1784;Värmlands län;17;Enskild;66;15;73;.;.;.;.;.;.;51;72;52;175;
Askersund;1882;Örebro län;18;Samtliga;50;11;41;112;122;112;117;117;105;110;115;128;1 038;
Askersund;1882;Örebro län;18;Kommunal;50;11;41;112;122;112;117;117;105;110;115;128;1 038;
Avesta;2084;Dalarnas län;20;Samtliga;51;32;42;263;299;271;276;237;262;276;259;252;2 395;
Avesta;2084;Dalarnas län;20;Kommunal;51;33;41;242;279;254;256;223;247;276;259;252;2 288;
Avesta;2084;Dalarnas län;20;Enskild;47;6;49;21;20;17;20;14;15;.;.;.;107;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;45;32;43;86;102;98;97;96;121;91;102;98;891;
